Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	1	0.0531801813620639	0.07191488061491322	0.0074642395479732615
NP,UP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,inhibition)	1	0.22853328838192824	0.8059912434204247	0.05571376324579935
NP,UP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	124	1.1745659169235	3.477254732717227	1.1102230246251565E-16
PP,UP,NP	(0,2,inhibition)(2,1,inhibition)	157	178.02701104607434	51331.40234589888	0.3945641522362008
UP,NP,NP	(0,2,inhibition)(2,1,activation)	16506	6791.898435751579	2654812.491569221	1.2531147161043421E-6
UP,NP,NP	(0,2,inhibition)(2,1,inhibition)	1682	1552.3292779666663	1880283.0534270736	0.37558385310838804
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1121	52.45300160343792	1411.2889466710603	2.042810365310288E-14
NP,NP,UP	(2,1,inhibition)(2,0,activation)	1590	4800.680833848234	1475689.4239961617	0.9994655444346933
UP,NP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	2	42.89073404251727	2625.5072948629795	0.7259060147700843
NP,NP,UP	(2,1,inhibition)(2,0,inhibition)	9558	17413.739949064944	9.019972186983341E7	0.7851503213972479
PP,PP,UP	(0,2,activation)(2,1,activation)	373	265.97373812148965	13073.218562551236	0.16851121874403863
PP,PP,UP	(0,2,activation)(2,1,inhibition)	226	171.4805977956256	19010.460299407052	0.286533839113551
PP,NP,UP	(0,2,activation)(2,1,activation)	2273	1079.705936918417	146939.0097152514	0.0044653023938451275
UP,UP,NP	(0,2,activation)(0,1,inhibition)(1,2,activation)	5	70.37573970663554	463.26467867181236	0.9999971521084342
NP,NP,UP	(0,2,activation)(1,2,activation)	11985	28395.90514354482	2.0644435299687815E8	0.8899759497564905
UP,NP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	1	31.913018838569364	737.5725794930752	0.9135833607530045
PP,UP,NP	(0,2,activation)(2,1,activation)	2408	1527.544387521705	141170.458622145	0.01643001147977874
UP,PP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	6	3.3583582690490155	28.50580246466859	0.19362889076863576
PP,PP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	3	0.07023867400231677	1.3806946553981958	0.004998715783871677
NP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	21	15.825049504365714	465.207492727352	0.2784339142297456
NP,NP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	205	16.868709744836774	79.96775492787611	3.3306690738754696E-16
PP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	42	27.61027472555337	1728.808290380827	0.2435819293793937
NP,UP,PP	(0,2,inhibition)(2,1,inhibition)(2,0,inhibition)	12	2.6742551318539487	79.6082553145011	0.07635485166945288
UP,NP,NP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	4.155735731284528	22.83666455594162	0.6122662921431383
NP,NP,PP	(0,2,inhibition)(0,1,inhibition)(1,2,activation)	1	110.6755779079981	5200.140923033163	0.9881689681799932
NP,NP,UP	(0,2,inhibition)(2,1,activation)(2,0,activation)	2	46.38373330113705	1687.6997439098768	0.8940259124731456
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,inhibition)	4	1.6155524321838017	4.844006144482261	0.1037444090792844
NP,UP,UP	(0,1,activation)(1,2,activation)(2,0,activation)	19	5.868953028995361	23.149333166772664	0.015088054926021277
NP,PP,UP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,activation)	18	0.4777039917759439	1.9771093105647635	5.7799563278337907E-5
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)	2807	9958.359567844083	1.5996029885515884E7	0.9860451799735342
NP,PP,PP	(0,2,activation)(2,1,activation)	758	559.7247789594215	92204.352615032	0.2320980062616489
UP,NP,PP	(0,2,inhibition)(2,1,inhibition)	2279	402.4357101246639	53630.35687529118	5.115908502384414E-7
PP,NP,UP	(0,2,inhibition)(2,1,inhibition)	118	151.55326915369827	5631.080721427214	0.6309790666838702
UP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	1506	101.099831264153	4999.992676274691	0.0
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	51	6.631192012777343	170.80954442831074	0.01701973741992535
NP,UP,UP	(0,2,activation)(1,2,inhibition)	4388	2159.023907133917	495665.6098941779	0.0036909613274780373
UP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,activation)	3	0.13597111197552228	0.6108692898827248	0.01294832879647756
UP,UP,PP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	24	3.3813567962786855	81.57980459119149	0.041616942121699085
NP,UP,NP	(0,2,inhibition)(1,2,activation)	2006	5639.276965839844	4286161.604932245	0.9812195119060163
NP,UP,UP	(0,2,activation)(1,2,activation)	31462	109462.60960658213	2.8220253437381134E9	0.9595733086324932
NP,UP,PP	(0,1,activation)(1,2,activation)(2,0,activation)	18	2.9941424407139365	7.26022998773308	2.341812987775027E-4
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	4	10.397753707276916	178.14233060094972	0.5328405655507065
UP,PP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	164	12.715879176591011	93.46396018807707	1.953437411827963E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,activation)	2505	290.58397646418086	27501.9669553852	3.4057201503401302E-12
NP,UP,NP	(0,2,activation)(1,2,activation)(2,0,inhibition)	56	66.4147172753488	6723.141968150364	0.4106633839768197
