Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,activation)	9	6.46401514485909	1142.938537564827	0.06357027358260647
PP,UP,NP	(0,2,activation)(2,1,inhibition)(2,0,inhibition)	5	187.71959063886894	73417.82993612986	0.6068248259161733
PP,UP,UP	(0,2,activation)(1,2,activation)	11955	44192.048246668324	4.744762432925434E8	0.9621407691154138
PP,UP,NP	(0,2,activation)(2,1,inhibition)	2293	1920.8324507468606	2282691.750771243	0.3340806665641374
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	39	1.8866765470537297	6.230158606701114	9.85912940176803E-9
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	2	33.522938287550495	1678.7682943581917	0.7034069676496886
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	205	10.872513587495193	631.4752436045658	7.660399800385465E-4
PP,PP,NP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)	1	0.9064144538301023	2.7105960530083637	0.22054293163539795
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	108	145.7285211408807	20737.20009108319	0.4986981251210876
PP,PP,NP	(0,2,activation)(1,2,activation)	3629	4202.637282904233	3236138.6811398417	0.5864264424854447
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	10	26.961457922438612	81.77531004965215	0.9829769746461882
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	2.451617654748737	3.6489065366689983	0.6398465844240198
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	193	1281.8253796622985	1827525.12790813	0.75490685434601
NP,UP,NP	(0,2,inhibition)(2,1,activation)	215	1442.9015026908185	386335.68232908496	0.9963036951819787
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	79	51.692207942510336	1723.614765949792	0.21703086871411426
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.016716664803919794	0.026473790060376944	6.853949495645439E-4
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	4	0.6770482295946416	98.37051279181003	0.008721982455255795
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	10	11.045047764035894	90.78886389016468	0.43354625861134266
UP,UP,PP	(0,2,activation)(2,1,activation)(2,0,activation)	67	12.473110553447544	171.38820945115933	0.0034743597951133465
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.02152807042984493	0.030615978373931627	0.0031996431464534902
