Motif_Nodes	Motif_edges	Num_occ_input_graph	Mean_analytical	Variance_analytical	Pval_analytical
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,activation)	42	6.755083854302854	117.81814414445192	0.016320900238898095
PP,UP,NP	(0,2,activation)(1,2,inhibition)(2,0,inhibition)	14	1.1387397661864573	21.07616130580121	0.026519620305340164
PP,UP,UP	(0,2,activation)(2,1,activation)	2075	754.4559964299634	106169.29791815684	8.641835612842597E-4
PP,UP,NP	(0,2,activation)(1,2,inhibition)	6158	2755.8112353281686	484012.49032720085	3.561531924134442E-5
NP,PP,PP	(0,2,inhibition)(0,1,activation)(1,2,activation)	42	0.23597578999636779	0.4503281032884781	2.220446049250313E-16
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,activation)	62	23.566094914708053	976.2041650756373	0.11120246901867148
UP,NP,NP	(0,1,activation)(1,0,activation)(2,1,activation)(2,0,activation)	295	6.609403709021804	104.14498121537208	3.042011087472929E-14
NP,UP,NP	(0,2,inhibition)(1,2,inhibition)(2,0,inhibition)	71	3.7597233456099475	265.61091590677603	0.01480055899738364
PP,PP,NP	(0,2,activation)(1,2,activation)(2,1,activation)(2,0,activation)	9	0.061148121597151335	0.07778003335163045	1.0410288187046035E-9
PP,PP,NP	(0,2,activation)(0,1,activation)(1,0,activation)(2,1,inhibition)	3	0.009787744141244304	0.012020404071550616	1.0496918498081875E-5
PP,PP,UP	(0,2,inhibition)(1,2,inhibition)	1399	619.4682318869346	279046.7770039212	0.08747503531893308
PP,PP,NP	(0,2,activation)(1,2,activation)	1919	2111.9575445441287	601630.4771780698	0.5633476571707803
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,activation)	6	35.181441445240125	1053.6109653180058	0.8048022031482711
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)	1	1.3228980998440811	2.0417376205620195	0.357584294703544
NP,UP,NP	(0,2,inhibition)(2,1,inhibition)	233	368.3987825566456	233127.90320985552	0.45904222426836727
NP,UP,NP	(0,2,inhibition)(2,1,activation)	351	843.6309577622535	160097.2316224653	0.9109185694747549
UP,NP,NP	(0,2,activation)(0,1,activation)(1,2,inhibition)	79	45.66744055878531	1333.0381184339099	0.16444170021182003
NP,NP,UP	(0,2,activation)(0,1,activation)(1,2,activation)(1,0,activation)(2,0,inhibition)	2	0.01135301486746012	0.013640136619043532	9.486034366967822E-5
UP,NP,UP	(0,2,activation)(1,2,activation)(2,1,inhibition)(2,0,inhibition)	14	1.1573840618962863	235.6047840695464	0.009813420271128526
UP,UP,PP	(0,2,activation)(0,1,activation)(1,2,inhibition)	38	6.560582703616637	69.01745157461997	0.007106225302100366
UP,UP,PP	(0,2,activation)(1,2,activation)(2,0,activation)	216	55.59928725071073	29989.566971838045	0.09033038544113692
PP,UP,UP	(0,2,inhibition)(1,2,activation)(2,0,inhibition)	18	0.8645451505945146	56.49665284339939	0.0149355021719626
UP,UP,PP	(0,2,activation)(0,1,inhibition)(1,2,inhibition)(1,0,inhibition)	1	0.016444038369090693	0.02088624363774144	0.0018030804348991847
